,foodname_ESP,foodname_ENG,energy,fats,prot,water,fiber,carbs,m_unsat_fats,p_unsat_fats,sat_fats,palm_acid,chol,A,D,E,B9,B3,B2,B1,B12,B6,C,calcium,iron,potassium,magnesium,sodium,phosphorus,iodide,selenium,zinc,unsat_fats,salt,group
66,"arroz hinchado, para el desayuno, enriquecido","puffed rice, breakfast cereals, enriched",389.0,0.6,6.3,3.0,1.4,87.7,0.15,0.21,0.14,False,0.0,0.0,2.8,0.6,250.0,16.8,1.5,1.2,0.0,0.94,0.0,10.0,6.5,113.0,30.0,600.0,110.0,5.0,15.4,0.9,0.36,1500.0,cereals
67,"arroz integral, crudo","rice, brown, raw",386.0,2.6353,7.5,11.4,3.0,81.3,0.83,0.89,0.52,False,0.0,0.0,0.0,0.6,40.0,6.8,0.08,0.39,0.0,0.51,0.0,21.0,1.7,223.0,143.0,6.0,303.0,2.2,2.0,1.8,1.72,15.0,cereals
68,"arroz integral, hervido","rice, brown, boiled",112.0,0.9,2.6,71.8,1.8,22.9,0.33,0.32,0.2,False,0.0,0.0,0.0,0.2,10.0,1.3,0.02,0.1,0.0,0.15,0.0,10.0,0.48,43.0,43.0,5.0,83.0,1.1,9.8,0.63,0.65,12.5,cereals
69,"arroz, hervido","rice, boiled",393.0,1.66,7.54,4.12,1.4,85.28,0.15,0.21,0.13,False,0.0,0.0,0.0,0.1,2.07,2.98,0.03,0.06,0.0,0.3,0.34,10.19,0.81,130.0,27.9,4.39,100.83,14.63,0.0,1.3,0.36,10.975,cereals
70,atún en aceite de oliva isabel,tuna in olive oil,180.0,8.08,26.53,64.02,0.0,0.0,3.313,3.72,1.05,False,31.0,62.2,5.0,2.3,16.8,11.698,0.079,0.017,0.0,0.43,2.2,4.0,0.65,333.0,34.0,396.0,267.0,8.0,60.1,0.47,7.033,990.0,seafood
71,atun en aceite vegetal,tuna in vegetable oil,205.0,12.1,23.81,61.4,0.0,0.0,3.6,5.5,1.8,False,39.8,62.2,24.7,6.3,16.8,13.6,0.1,0.1,5.0,0.42,0.0,27.7,1.2,0.0,28.2,0.0,0.0,34.2,0.0,1.1,9.1,0.0,seafood
72,atún en escabeche,pickled tuna,101.0,0.6,23.5,75.9,0.0,0.0,0.1,0.21,0.23,False,51.0,65.0,4.0,0.55,16.0,18.8,0.11,0.02,4.3,0.47,0.0,8.0,1.0,230.0,27.0,320.0,170.0,13.0,78.0,0.7,0.31,800.0,seafood
73,"atún, al horno","tuna, baked",190.0,7.8889,29.4,61.0,0.0,0.0,2.0,2.8,2.3,False,48.0,34.0,5.8,1.0,16.0,10.5,0.15,0.2,8.0,0.53,0.0,35.0,1.2,310.0,20.0,47.0,200.0,30.0,36.0,0.9,4.8,117.5,seafood
74,"atún, al natural","tuna, canned in water",101.0,0.6,23.5,75.9,0.0,0.0,0.1,0.2,0.2,False,51.0,60.0,4.0,0.55,7.0,18.78,0.11,0.02,4.0,0.47,0.0,28.0,1.0,230.0,27.0,320.0,170.0,13.0,80.4,0.7,0.30000000000000004,800.0,seafood
75,"atún, crudo","tuna, raw",119.0,3.3,22.0,67.3,0.0,0.0,0.65,1.32,0.96,True,28.0,26.0,7.2,1.0,15.0,12.8,0.13,0.1,4.0,0.4,0.0,16.0,1.3,400.0,33.0,47.0,230.0,8.0,82.0,0.7,1.9700000000000002,117.5,seafood
76,"atún, plancha","tuna, griddle",200.0,12.0,23.0,65.0,0.0,0.0,2.39,3.07,2.77,False,55.0,60.0,25.0,0.0,15.0,17.8,0.2,0.04,5.0,0.41,0.0,38.0,1.3,40.0,28.0,40.0,200.0,10.0,46.8,1.1,5.46,100.0,seafood
77,avellana,hazelnut,656.0,56.25,12.009,5.26,8.22,10.5,46.4,4.89,4.91,True,0.0,4.8,0.0,26.19,71.0,3.833,0.21,0.39,0.0,0.59,3.0,226.0,3.8,636.0,156.0,6.0,333.0,1.5,4.5,2.1,51.29,15.0,legumes
