foodname_ESP,foodname_ENG,quantity,energy,fats,prot,carbs,water,fiber,m_unsat_fats,p_unsat_fats,sat_fats,palm_acid,calcium,iron,potassium,magnesium,sodium,phosphorus,iodide,selenium,zinc,A,D,E,B9,B3,B2,B1,B12,B6,C
Batido de soja,Soya shake,100,82.0,5.2,5.0,85.9,0.0,3.9,1.0,2.6,0.6,False,0.0,0.0,0.74,19.0,0.1,0.03,0.07,0.0,0.07,0.47,100.0,0.4,120.0,15.0,32.0,47.0,0.0,1.3,0.2
Batido fermentado de soja,Soy yogurt,100,90.0,1.18,2.35,78.18,0.6,17.06,1.0,2.6,0.0,True,0.0,0.0,0.0,19.0,0.1,0.03,0.07,0.0,,17.6,176.0,0.64,120.0,15.0,15.0,47.0,0.0,1.3,0.2
"Batido lácteo de cacao, bajo en calorías","Milk shake, cacao, light",100,48.0,1.9,3.1,90.4,0.0,4.6,0.0,0.1,0.3,False,70.3,0.3,0.7,21.1,1.3,0.18,0.1,0.36,0.15,4.2,110.0,1.1,180.7,24.6,88.3,95.0,10.6,3.7,0.9
"Batido lácteo, de fresa, bajo en calorías","Milk shake, strawberry, light",100,112.0,0.34,3.8,72.9,1.6,22.9,0.0,0.1,0.3,False,70.3,0.3,0.7,21.1,1.3,0.13,0.1,0.2,0.15,4.2,111.6,1.1,180.7,24.6,88.3,52.8,10.6,3.7,0.9
Bebida de soja,Soya drink,100,53.0,1.84,3.2,87.9,1.3,5.76,0.314,0.802,0.206,False,2.0,0.0,0.74,1.0,0.883,0.42,0.12,0.0,0.062,0.0,100.0,0.8,191.0,28.0,3.0,47.0,0.0,1.3,0.39
Bebida energética,Energy drink,100,5.0,0.08,0.25,98.35,0.0,0.7,0.0,0.0,0.0,False,0.0,0.0,0.0,1.995,8.5,0.575,0.025,1.99,1.9,0.0,13.0,0.02,3.0,3.0,39.0,0.0,0.4,0.2,0.0
Bebida isotónica,Sport drink,100,32.0,0.0,0.0,92.1,0.0,7.9,0.0,0.0,0.0,False,0.0,0.0,0.5,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.8,,2.2,5.0,24.0,1.0,1.0,,
Berberechos,Cockles,100,48.0,0.5,10.7,88.8,0.0,0.0,0.03,0.13,0.05,False,250.0,,0.4,17.0,4.1,0.14,0.04,,0.1,,128.0,24.0,314.0,51.0,56.0,130.0,160.0,24.3,1.3
Berberechos en conserva,"Cockles, canned",100,48.0,0.5,10.7,88.8,0.0,,0.03,0.13,0.05,False,250.0,,0.37,12.8,4.1,0.14,0.04,,0.03,,128.0,24.0,43.0,51.0,3520.0,204.0,160.0,45.0,1.3
Berenjena,Aubergine,100,20.0,0.2,0.7,92.2,2.4,3.8,,0.09,,False,8.0,0.0,0.03,19.0,0.6,0.03,0.04,0.0,0.1,4.0,10.0,0.3,262.0,13.0,3.0,21.0,0.0,0.4,0.1
"Berenjena, frita, en aceite de girasol","Aubergine, fried, in sunflowerseed oil",100,299.0,31.9038,1.2,59.5,2.9,2.7061,7.2,19.6,3.7,False,20.8333,0.0,5.5,5.0,,,0.0,0.0,0.07,1.0,8.0,0.5,170.0,8.0,2.0,25.0,4.4,0.3,0.1
"Berro, crudo","Watercress, raw",100,12.0,0.2,2.2,93.5,2.6,0.3,,0.08,,False,483.33,0.0,1.2,127.9,0.8,0.12,0.1,0.0,0.13,60.0,157.0,1.3,304.0,20.0,60.0,53.0,0.0,0.9,0.2
Besugo,Sea bream,100,90.0,1.8,18.12,80.1,0.0,0.0,0.6,0.301,0.4,False,9.0,0.19,1.48,10.41,2.89,0.06,0.06,2.91,0.05,0.0,40.72,0.8,310.0,25.21,20.0,210.0,7.07,45.0,0.44
"Bígaro, hervido","Periwinkle, boiled",100,95.0,1.2,20.75,68.25,0.0,,0.2,0.4,0.2,False,84.0,,3.9,11.0,1.85,0.295,0.17,27.0,0.375,,130.0,11.6,260.0,305.0,875.0,200.0,,89.6,2.2
Bizcocho,Sponge cake,100,383.0,21.9,6.5,28.2,0.8,39.6,6.78,1.01,13.13,True,248.0,0.84,0.91,34.0,0.17,0.16,0.05,0.5,0.1,0.0,25.0,0.9,75.0,9.0,46.0,93.0,12.1,6.3,0.5
Bocadillo,Sandwich,100,225.0,4.08,11.06,47.21,2.38,35.28,1.37,0.64,1.34,False,9.72,8.0,0.0,0.9,2.09,0.08,0.13,0.14,0.09,0.0,57.8,1.46,116.48,20.89,536.79,83.03,4.79,0.0,0.95
Bogavante,Clawed lobster,100,92.0,2.0,18.3,79.7,0.0,0.0,0.38,0.74,0.24,False,,,0.4,17.0,5.3,0.11,0.12,1.0,0.06,,60.0,0.7,220.0,34.0,270.0,261.0,37.0,63.6,2.3
"Bogavante, hervido","Lobster, boiled",100,104.0,1.5714,22.1,74.3,0.0,,0.3,0.6,0.2,False,,,1.47,9.0,1.5,0.0,0.08,3.0,0.08,,62.0,0.8,260.0,34.0,330.0,260.0,140.0,51.8,2.5
"Bollería, genérico",Bakery,100,448.0,23.0,7.0,15.1,2.3,52.8,7.68,6.21,8.35,False,150.0,1.23,,8.0,1.5,0.08,0.05,,0.06,,40.0,1.0,78.0,19.0,178.0,91.0,0.0,3.0,0.6
Bombón,Chocolate,100,477.0,21.2,4.8,7.2,0.8,66.0,6.75,0.741,12.3,False,33.16,0.0,0.7,10.0,1.85,0.14,0.06,0.0,0.02,,121.0,1.3,420.0,43.0,58.0,120.0,6.0,2.8,1.7
"Boniato, crudo","Sweet potato, raw",100,101.0,0.3,1.2,71.5,2.9,23.0,,0.13,,False,666.667,0.0,4.0,52.0,0.8,0.06,0.1,0.0,0.13,25.0,22.0,0.7,300.0,13.0,19.0,44.0,0.0,1.0,0.3
"Bonito del norte, al vapor","Albacore, steamed",100,164.0,4.7,30.0,64.0,0.0,0.0,0.98,2.0,1.2,False,26.0,3.5,0.9,10.0,11.2,0.07,0.2,3.0,0.37,,9.0,1.6,277.0,28.0,43.0,182.0,,65.7,0.7
"Bonito del norte, enlatado en aceite de soja","Albacore, canned, soybean oil",100,206.0,8.4,32.2,57.8,0.0,0.0,1.8,4.2,1.8,False,26.0,3.1,2.0,5.0,8.0,0.1,0.1,5.0,0.52,,10.0,1.2,267.0,33.0,347.0,200.0,,60.1,1.1
Bonito en aceite vegetal,Albacore in vegetable oil,100,200.0,11.5,23.875,64.7,0.0,0.0,3.1,5.4,1.8,False,,23.8,7.2,15.5,13.5,0.11,0.05,5.0,0.42,,28.5,1.0,333.0,29.0,396.0,,37.0,60.1,1.1
"Bonito, enlatado en aceite, escurrido","Albacore, canned in oil, drained",100,204.0,4.73,26.23,59.5,0.0,0.0,1.03,1.26,1.13,True,5.0,23.8,7.2,15.5,13.5,0.11,0.05,5.0,0.42,,28.5,1.0,267.0,29.0,347.0,200.0,,60.1,1.1
Boquerón,Anchovy,100,128.0,6.3,17.6,76.1,0.0,0.0,1.33,2.18,1.65,False,47.0,8.0,0.02,8.7,8.3,0.3,0.06,1.9,1.1,,30.0,1.0,331.0,29.0,116.0,182.0,45.0,36.5,0.5
"Boquerón, frito","Anchovy, fried",100,137.0,6.0,20.09,72.9,0.0,0.5,0.81,2.3,2.3,False,28.71,6.3,0.02,4.57,6.84,0.21,0.05,1.66,0.01,0.0,26.79,0.93,331.0,26.6,104.0,182.0,18.5,0.0,0.43
Borraja,Borage,100,26.0,0.7,1.8,94.4,,3.06,0.211,0.109,0.17,False,210.0,13.0,,13.0,,0.15,0.06,0.0,0.084,35.0,93.0,3.3,470.0,52.0,80.0,53.0,,0.9,0.2
"Breca, cruda","Pandora, raw",100,76.0,1.59,15.4,82.6,0.0,1.0,0.36,0.38,0.35,True,2.2,14.0,2.6,6.0,7.8,0.07,0.07,2.0,0.45,0.0,30.0,0.4,316.0,26.0,141.0,210.0,7.0,28.0,0.5
"Brécol, crudo","Broccoli, raw",100,26.0,0.4,3.0,90.7,3.0,2.4,,0.2,0.07,False,69.0,0.0,1.0,110.0,1.0,0.13,0.1,0.0,0.19,110.0,93.0,1.4,370.0,25.0,13.0,67.0,2.0,3.0,0.6
"Brécol, hervido","Broccoli, boiled",100,24.0,0.8,3.1,91.1,0.65,1.1,0.1,0.4,0.2,False,75.0,0.0,1.1,64.0,1.3,0.05,0.05,0.0,0.11,44.0,40.0,1.0,170.0,13.0,13.0,57.0,2.0,0.0,0.4
Butifarra,Butifarra sausage,100,241.0,20.0,10.0,63.0,0.0,5.5,8.9,3.0,6.8,False,0.0,0.01,0.01,2.0,2.4,0.13,0.04,,0.1,0.0,51.0,1.9,140.0,15.0,703.0,51.0,,11.5,
"Caballa, al horno","Mackerel, baked",100,249.0,20.3333,16.7,61.0,0.0,0.0,8.2,5.2,4.9,False,50.0,7.5,1.6,5.0,7.0,0.4,0.15,10.0,0.5,,17.0,1.3,380.0,29.0,90.0,250.0,46.5,31.9,0.5
"Caballa, cruda","Mackarel, raw",100,182.0,11.9,18.68,69.4,0.0,0.0,2.363,2.47,3.449,True,45.0,4.0,1.3,1.2,12.47,0.36,0.13,9.0,0.63,0.0,12.0,1.2,386.0,30.0,84.0,244.0,51.0,39.0,0.519
"Caballa, enlatada en aceite, escurrida","Mackerel, canned in oil, drained",100,208.0,16.6,14.9,67.85,0.0,0.0,6.25,4.25,3.7,False,52.25,4.65,0.7,9.0,5.8,0.21,0.05,7.3,0.2,0.01,17.0,1.65,277.5,25.0,382.0,113.0,46.5,31.9,1.6
"Cabracho o rascacio, crudo","Red rockfish, raw",100,92.0,1.6857,19.0,79.0,0.0,0.0,0.33,0.48,0.37,False,57.0,0.0,0.0,3.4,0.0,0.07,0.04,0.0,0.0,0.01,9.0,0.4,405.0,26.0,60.0,178.0,,63.0,0.1
"Cabrito lechal, costillar, asado","Kid, ribs, roasted",100,265.0,19.5,22.46,56.98,0.0,0.0,6.04,0.85,6.26,True,,20.0,0.21,1.9,3.07,0.05,0.1,2.36,0.54,,18.71,0.75,280.9,18.34,93.24,174.16,,10.69,3.01
"Cabrito lechal, costillar, crudo","Kid, ribs, raw",100,225.0,17.49,17.11,64.5,,0.0,6.12,0.84,6.12,True,,,0.24,4.31,2.72,0.14,0.11,1.61,0.83,0.0,9.56,0.57,248.93,15.82,64.06,156.77,,7.79,2.24
"Cabrito lechal, espalda, cruda","Kid, back, raw",100,205.0,14.58,18.63,65.83,,0.0,5.19,0.73,5.2,True,,,0.27,3.44,2.63,0.1,0.13,2.28,0.77,0.0,13.7,0.81,288.19,18.76,85.14,187.81,,10.6,3.15
"Cabrito lechal, pierna, cruda","Kid, leg, raw",100,190.0,12.79,18.78,67.4,,0.0,4.34,0.6,4.37,True,,,0.23,3.62,3.23,0.11,0.11,2.07,0.66,0.0,9.94,0.63,295.77,18.68,71.35,190.56,,9.1,2.53
"Cabrito, parte s/e, crudo, con grasa separable","Kid, part n/e, raw, with separable fat",100,114.0,4.0,19.3,76.7,0.0,,2.2,0.3,1.5,False,0.0,0.4,0.09,5.0,6.0,0.1,0.32,2.0,0.3,0.0,9.0,0.9,385.0,22.0,82.0,220.0,5.0,1.0,2.0
"Cacahuete, crudo, con cáscara","Peanut, raw, in shell",100,544.0,43.06,25.23,10.58,8.1,7.91,23.14,13.19,6.75,True,0.333,0.0,10.94,110.0,18.383,0.155,0.9,0.0,0.44,0.0,60.0,2.5,670.0,210.0,2.0,430.0,13.0,7.2,3.5
"Cacahuete, frito, salado","Peanut, fried, salted",100,592.0,50.3138,26.8,2.6,8.4,8.9,24.2,14.4,9.5,False,0.0,0.0,8.5,52.0,15.0,0.12,0.25,0.0,0.3,0.0,62.0,2.5,720.0,180.0,430.0,387.0,19.0,4.0,2.9
"Cacahuete, tostado, salado","Peanut, toasted, salted",100,600.0,53.0,24.5,8.5,6.9,7.1,24.2,16.5,9.5,False,0.0,0.0,0.66,52.0,18.9,0.1,0.18,0.0,0.63,0.0,37.0,1.3,810.0,180.0,400.0,410.0,19.0,4.0,2.9
"Cacao en polvo, azucarado","Soluble cocoa, with sugar, powder",100,390.0,4.0,5.88,1.5,3.5,81.02,1.32,0.12,2.5,True,1.0,0.0,0.53,15.0,3.08,0.56,0.1,1.32,0.11,1.8,141.0,1.19,712.0,83.0,504.0,315.0,3.1,5.0,1.46
"Cacao, en polvo, azucarado, bajo en calorías","Soluble cocoa, with sugar, powder, light",100,386.0,8.1,9.8,13.0,0.8,67.1,2.56,0.25,4.47,False,0.0,0.0,0.43,15.0,1.08,1.4,0.267,0.0,0.318,0.0,40.0,4.96,550.0,208.0,200.0,210.0,3.1,16.7,3.44
"Café, con leche","Coffee infusion, with milk",100,38.0,2.3654,1.7,94.0,0.0,2.45,0.6235,0.0656,1.2032,False,15.8333,0.01,0.04,1.66,0.7,0.08,0.02,0.1,0.01,0.5,55.0,0.05,90.0,8.0,23.0,42.0,17.4,2.8,0.18
"Café, en grano o molido, descafeinado","Coffee, seed or powder, descaffeinated",100,303.0,15.4,10.4,43.8,58.2,30.4,1.1,5.1,5.2,False,0.0,0.0,0.0,0.0,9.3,0.19,0.0,0.0,0.0,0.0,120.0,3.8,1869.0,222.0,69.0,148.0,0.0,0.0,0.0
"Café, en polvo, sin reconstituir","Coffee, powder",100,111.0,0.3,18.5,3.1,0.0,8.0,,0.12,0.12,False,0.0,0.0,0.0,3.0,28.2,0.09,,0.0,0.03,0.0,150.0,4.4,3750.0,320.0,39.0,303.0,0.5,12.6,1.1
"Café, en polvo, soluble","Soluble coffee, powder",100,120.0,,18.5,46.0,20.7,11.0,0.041,0.2,0.19,False,0.0,0.0,,,24.9,0.11,0.0,0.0,0.03,0.0,160.0,4.4,4000.0,390.0,41.0,350.0,,,0.5
"Café, infusión","Coffee, brewed",100,2.0,0.18,0.12,97.8,0.0,0.0,0.0,0.092,0.092,False,0.0,0.0,0.01,1.0,5.207,0.177,0.001,0.0,0.002,0.2,2.0,0.13,115.0,80.0,14.0,7.0,,0.0,0.05
"Café, infusión, descafeinado","Coffee, brewed, decaffeinated",100,2.0,0.18,0.12,97.8,0.0,0.0,0.0,0.092,0.092,False,0.0,0.0,0.01,1.0,5.207,0.177,0.001,0.0,0.002,0.2,2.0,0.13,115.0,80.0,14.0,7.0,,0.0,0.05
"Café, sucedáneo, soluble","Coffee, substitute, instant",100,410.0,3.4,12.3,3.3,0.1,80.9,0.37,1.77,0.63,False,0.0,0.0,,0.0,17.47,0.1,0.01,0.0,0.22,0.0,250.0,2.0,1840.0,244.0,73.0,450.0,0.0,14.8,0.5
Calabacín,Courgette,100,17.0,0.2,1.8,94.6,1.0,2.0,0.02,0.09,0.04,False,4.0,0.0,,50.0,0.56,0.04,0.05,0.0,0.11,20.0,19.0,0.4,230.0,18.0,3.0,31.0,1.0,0.2,0.3
"Calabacín, asado","Courgette, roasted",100,18.0,0.39,1.76,93.7,1.6,1.76,0.1,0.2,0.1,False,5.0,0.0,0.06,35.1,0.5,0.02,0.1,0.0,0.12,14.18,25.5,0.78,352.8,21.56,0.98,44.1,1.99,0.98,0.29
"Calabaza, cruda","Pumpkin, raw",100,32.0,0.5,1.2,89.4,2.4,5.6,0.07,,0.26,False,34.0,0.0,0.1,25.0,0.1,0.07,,0.0,0.1,12.0,18.0,0.4,304.0,10.0,1.0,30.0,1.0,0.0,0.2
"Calabaza, hervida","Pumpkin, boiled",100,12.0,0.15,0.6,96.5,0.5,2.1,,,0.1,False,159.17,0.0,1.06,10.0,0.2,,0.14,0.0,0.03,7.0,23.0,0.1,84.0,7.0,76.0,15.0,1.0,0.0,0.2
"Calamar, asado","Squid, roasted",100,81.0,1.3,16.58,81.2,,0.5,0.09,0.43,0.31,False,63.0,,2.16,,3.24,0.11,0.06,1.14,0.05,,17.64,1.57,83.25,32.3,247.6,209.95,,44.8,1.53
"Calamar, conserva","Squid, canned",100,89.0,2.0,17.0,80.5,0.0,0.5,0.15,0.74,0.52,False,70.0,,0.82,3.4,3.6,0.14,0.07,1.3,0.03,0.0,78.0,1.7,90.0,36.0,430.0,185.0,64.0,44.8,1.2
"Calamar, crudo","Squid, raw",100,72.0,1.47,14.0,79.75,0.0,1.0909,0.18,0.66,0.46,True,15.0,,1.2,5.0,2.8,0.16,0.06,2.15,0.375,0.0,20.3333,3.9,316.333,31.6667,136.5,158.5,,44.8,2.1
Calamares en aceite vegetal,Squid in vegetable oil,100,217.0,13.8,22.5,63.1,0.0,0.6,5.9,3.3,2.3,False,125.0,2.9,1.5,1.0,17.1,0.15,0.12,9.8,0.06,0.09,17.2,1.01,278.0,28.9,382.0,272.0,5.57,39.0,0.51
Caldo vegetal,Vegetable stock,100,105.0,2.4,11.3,77.2,,9.1,1.1,,1.3,False,62.45,,1.94,0.58,,0.01,,0.84,0.14,0.0,20.0,2.5,74.3,50.3,278.3,115.5,0.1,,1.3
Callos de ternera,"Tripe, veal, raw",100,95.0,3.95,14.56,80.0,0.0,0.0,1.31,0.07,2.03,True,0.0,,0.08,2.0,0.06,0.17,0.01,1.54,0.04,,9.0,1.95,270.0,8.0,46.0,79.0,,45.6,2.47
Camarón,Shrimp or common prawn,100,83.0,0.6,17.6,80.3,0.0,1.5,0.2,0.1,0.1,False,,,2.85,12.0,3.2,0.1,0.04,7.0,0.05,0.0,79.0,1.6,330.0,34.0,190.0,180.0,90.0,24.3,1.5
"Canela, en polvo","Cinnamon, powder",100,373.0,3.2,3.9,10.58,54.3,80.59,0.48,0.53,0.65,False,25.8,0.0,0.01,29.0,1.3,0.14,0.08,0.0,0.25,28.5,1228.0,38.1,500.0,55.6,26.3,61.4,,15.0,1.97
Canelones,Canneloni,100,192.0,12.0,11.2,65.0,0.5,9.7,5.1,2.4,4.0,False,37.0,0.2,2.6,10.0,1.9,0.08,0.15,0.3,0.2,2.0,47.0,1.5,210.0,19.0,272.0,84.0,28.5,7.5,0.5
Cangrejo,Crab,100,124.0,5.1,19.5,75.4,0.0,,1.13,2.18,0.69,False,,,2.3,20.0,6.3,0.15,0.1,,0.3,0.0,30.0,1.3,270.0,48.0,370.0,160.0,40.0,37.4,3.8
Cangrejo de río crudo,Crayfish raw,100,125.0,5.1,19.5,75.4,0.0,0.0,1.26,2.42,0.77,False,,,2.3,20.0,6.3,0.15,0.1,,0.35,,30.0,1.3,270.0,48.0,370.0,176.0,40.0,3.0,3.8
"Cangrejo, en conserva","Crayfish, canned",100,99.0,1.6143,19.7,79.37,0.0,1.0,0.32,0.61,0.2,False,,,2.3,20.0,1.5,0.15,0.04,7.0,0.3,,97.0,2.0,170.0,38.0,720.0,200.0,106.3,36.7,5.5
Canonigos,Lamb's lettuce,100,14.0,0.4,1.8,95.6,1.5,0.7,,,,False,442.0,0.0,1.0,0.0,0.38,0.08,0.065,0.0,0.25,35.0,35.0,2.0,421.0,13.0,4.0,49.0,33.5,,0.54
Caqui,Persimmon,100,67.0,0.2,0.7,80.7,2.5,15.3,,,,False,163.0,0.0,0.59,11.0,0.3,0.06,0.03,0.0,0.1,7.0,21.0,0.4,171.0,9.0,2.0,20.0,3.0,0.6,
Caracol,Snail,100,86.0,1.4,16.1,79.2,0.0,2.0,0.259,0.252,0.361,False,30.0,,5.0,6.0,1.4,0.12,0.01,0.5,0.13,,10.0,3.5,382.0,250.0,70.0,272.0,,27.4,1.0
Caramelo,Candy,100,389.0,,0.4,4.6,0.0,95.0,,,,False,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4.0,0.4,23.0,3.0,41.0,8.0,0.0,2.6,0.2
Cardo,Cardoon,100,22.0,0.2,1.4,93.9,1.0,3.5,,,,False,,0.0,0.9,34.0,0.2,0.03,0.01,0.0,0.05,1.0,70.0,1.5,392.0,32.0,220.0,46.0,1.0,0.7,0.2
"Cardo, tallo, en conserva","Cardoon, stalk, canned",100,14.0,0.11,0.76,95.0,1.7,2.4,0.02,0.044,0.012,False,6.0,0.0,0.9,22.0,0.3,0.031,0.018,0.0,0.042,1.7,72.0,0.73,392.0,43.0,176.0,23.0,0.4,0.7,0.18
"Carne de cerdo de capa blanca, cabezada, parte magra, cruda","Pork meat, head end of loin, lean, raw",100,165.0,8.5,21.9,68.5,,,3.799,0.807,3.095,True,5.2,,,,5.1,0.36,0.64,0.2,0.39,,15.0,3.2,435.0,32.0,62.0,194.0,,30.0,3.1
"Carne de cerdo de capa blanca, cabezada, partes grasa y magra, crudo","Pork meat, head end of loin, separable lean and fat, raw",100,254.0,19.4,20.0,59.5,,,8.905,2.204,6.923,True,7.0,,,,5.2,0.34,0.35,0.1,0.4,,11.0,1.8,363.0,25.0,59.0,167.0,,26.0,1.9
"Carne de cerdo de capa blanca, chuleta, parte magra, cruda","Pork meat, chop, lean, raw",100,138.0,5.0,22.9,71.03,,,2.568,0.5635,1.8415,True,3.8,,,,6.1,0.14,0.42,0.3,0.34,,13.0,0.89,208.0,31.0,40.0,197.0,,27.0,2.5
"Carne de cerdo de capa blanca, chuleta, partes grasa y magra, cruda","Pork meat, chop, separable lean and fat, raw",100,160.0,7.43,22.95,70.0,,,3.585,1.076,2.716,True,3.5,,,,5.98,0.13,0.4,0.2,0.65,,16.05,0.95,292.5,29.15,48.4,179.85,,27.0,1.95
"Carne de cerdo de capa blanca, jamón, parte magra, crudo","Pork meat, ham, lean, raw",100,127.0,2.95,24.65,71.26,,,0.672,0.16,0.556,True,3.15,,,,7.5,0.19,0.34,0.15,0.54,,12.5,0.79,484.5,39.5,46.5,171.5,,31.0,1.9
"Carne de cerdo de capa blanca, jamón, partes grasa y magra, crudo","Pork meat, ham, separable lean and fat, raw",100,129.0,3.9,23.07,71.89,,,1.596,0.347,1.1285,True,2.7,,,,6.8,0.21,0.52,0.15,0.55,,16.3,1.35,445.33,35.0,45.4,209.43,,28.0,2.2
"Carne de cerdo de capa blanca, lomo, parte magra, crudo","Pork meat, loin, lean, raw",100,124.0,2.5,24.9,71.47,,,1.253,0.253,0.979,True,4.05,,,,7.1,0.15,0.48,0.2,0.65,,14.5,0.91,490.0,29.0,41.0,176.5,,29.0,1.75
"Carne de cerdo de capa blanca, lomo, partes grasa y magra, crudo","Pork meat, loin, separable lean and fat, raw",100,142.0,4.57,24.77,71.19,,,2.155,0.408,1.761,True,3.05,,,,6.9,0.15,0.44,0.25,0.53,,9.53,1.55,482.43,35.43,42.8,213.9,,30.0,1.9
,,100,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
,,100,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
,,100,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
,,100,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
,,100,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
,,100,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
,,100,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
Carne picada,Mincemeat,100,244.0,20.5,15.22,64.3,0.0,0.0,9.29,1.83,8.2,True,,,0.18,12.0,6.5,0.21,0.04,1.0,0.27,0.0,23.0,2.5,270.0,17.0,600.0,107.0,3.0,23.0,3.2
"Carpa, al horno","Carp, baked",100,149.0,7.4286,20.4,73.3,0.0,0.0,2.5,1.5,1.2,False,44.0017,0.01,0.63,5.8,1.5,0.05,0.05,1.5,0.22,0.0,40.0,1.3,337.0,26.0,55.0,373.0,96.8,16.2,0.4
"Carpa, cruda","Carp, raw",100,116.0,4.95,17.75,76.7,0.0,0.0,0.48,1.05,1.14,False,44.0,0.01,0.565,8.0,2.2,0.06,0.08,1.75,0.17,,41.0,1.05,340.0,33.0,45.0,277.5,1.0,12.6,1.0
"Castaña, cruda",Chestnut,100,179.0,2.52,2.65,52.0,6.7,36.5,0.83,1.25,0.42,True,4.0,0.0,1.2,12.42,0.95,0.23,0.18,0.0,0.32,17.2,36.53,1.58,500.0,34.3,11.0,74.0,0.02,1.8,2.36
"Castaña, tostada","Chestnut, roasted",100,225.0,5.3,4.0,40.48,7.1,39.7,0.6,1.3,3.2,False,0.0,0.0,1.4,85.0,0.55,0.1,0.18,0.0,0.3,0.0,47.3,1.06,591.6,39.0,10.6,87.6,0.02,1.8,0.6
Cava,"Sparkling wine, ""cava"" type",100,70.0,0.0,0.2,89.2,0.0,1.5,0.0,0.0,0.0,False,0.0,0.0,0.0,,0.2,,,0.0,0.02,0.0,10.0,0.8,48.0,6.0,4.0,7.0,0.01,,
Caviar,Caviar,100,276.0,17.9,24.6,47.5,0.0,4.0,4.631,7.405,4.06,False,271.5,35.1,1.89,30.0,0.12,0.62,0.19,20.0,0.32,0.0,275.0,11.88,181.0,300.0,1500.0,356.0,,65.5,0.95
"Cebada, cruda","Barley, raw",100,323.0,2.1,10.6,8.5,14.8,64.0,0.2,0.7,0.3,False,0.0,0.0,0.9,50.0,7.8,0.1,0.31,0.0,0.56,0.0,50.0,6.0,560.0,91.0,4.0,380.0,7.0,1.0,3.3
Cebolla,Onion,100,26.0,,1.125,91.8,1.8,5.3,,,,False,0.0,0.0,0.45,7.0,0.4,0.03,0.03,0.0,0.13,6.9,25.4,0.27,162.0,4.2,3.0,33.0,8.9,1.5,0.26
"Cebolla, asada","Onion, roasted",100,38.0,0.2,1.17,89.0,1.45,7.74,,0.1,0.09,False,1.54,0.0,0.3,11.48,0.83,0.02,0.1,0.0,0.16,3.38,24.5,0.29,156.8,3.92,2.94,29.4,2.94,0.98,0.2
"Cebolla, hervida","Onion, boiled",100,18.0,0.1,0.6,92.6,0.7,3.7,,,,False,0.83,0.0,0.15,9.0,0.4,0.0,0.09,0.0,0.12,3.0,19.0,0.3,90.0,3.0,2.0,16.0,1.0,0.0,0.2
"Cebollino, crudo","Chive, raw",100,25.0,0.525,3.0,91.3,2.3,1.9,0.08,0.22,0.12,False,500.0,0.0,0.9,130.0,0.65,0.11,0.08,0.0,0.13,60.0,86.0,1.5,275.0,40.0,3.0,54.0,1.0,0.3,0.4
Cecina,Couring beef,100,243.0,9.5,39.0,45.0,0.0,0.0,3.9,0.5,4.4,False,21.0,0.0,,0.0,,0.82,0.16,8.89,0.36,0.0,48.0,9.8,62.2,39.0,2100.0,321.0,4.96,,
"Centeno, crudo","Rye, raw",100,408.0,2.5,14.8,0.0,14.6,79.8,0.3,1.1,0.29,False,0.0,0.0,1.87,60.0,4.27,0.25,0.32,0.0,0.29,0.0,33.0,2.67,264.0,121.0,6.0,374.0,10.0,35.3,3.73
"Centollo, crudo","Crab, raw",100,128.0,5.2,20.1,74.7,0.0,0.0,1.28,2.47,0.79,False,,,2.3,20.0,6.1,0.15,0.1,,0.35,,29.0,1.3,270.0,48.0,370.0,312.0,40.0,37.4,5.5
"Cerdo, chuleta, crudo","Pork, chop, raw",100,211.0,15.0,19.0,65.0,0.0,0.0,6.8,1.3,5.8,False,0.0,,0.1,4.0,4.2,0.19,0.74,1.2,0.4,0.0,9.0,1.3,285.0,21.0,69.0,166.0,3.0,14.0,1.6
"Cerdo, costilla, crudo","Pork, rib, raw",100,279.0,23.6,17.1,56.9,0.0,0.0,10.7,2.2,9.3,False,0.0,,0.05,4.0,4.9,0.27,0.62,0.9,0.4,0.0,7.0,1.0,260.0,22.0,75.0,240.0,2.0,27.3,1.3
"Cerdo, lomo, asado","Pork, loin, roasted",100,237.0,14.2707,27.0,56.1,0.0,0.0,6.5,1.6,5.5,False,,,0.1,4.0,4.2,0.3,0.52,0.8,0.36,,12.0,1.1,290.0,20.0,60.0,170.0,3.0,20.0,2.4
"Cerdo, lomo, crudo","Pork, loin, raw",100,152.0,8.9,18.0,66.0,0.0,0.0,4.0,1.15,3.28,True,0.0,,0.1,3.0,4.0,0.22,0.76,0.6,0.4,0.0,9.0,0.9,212.0,20.0,63.0,151.0,2.6,32.4,2.4
"Cerdo, panceta, cruda","Bacon, raw",100,467.0,46.6,12.5,40.4,0.0,0.5,21.2,3.47,19.39,False,,,0.08,1.5,4.2,0.12,0.32,,0.27,0.0,6.0,0.9,230.0,13.0,1470.0,120.0,11.0,1.0,1.5
