foodname_ESP,foodname_ENG,quantity,energy,fats,prot,carbs,water,fiber,m_unsat_fats,p_unsat_fats,sat_fats,palm_acid,calcium,iron,potassium,magnesium,sodium,phosphorus,iodide,selenium,zinc,A,D,E,B9,B3,B2,B1,B12,B6,C
Aguacate,Avocado,100,137.0,12.0,1.5,78.8,6.3,0.4,9.01,1.04,1.41,False,19.0,0.0,3.2,11.0,1.5,0.12,0.09,0.0,0.42,17.0,16.0,0.7,400.0,41.0,2.0,28.0,2.0,,0.3
Aguacate congelado,"Avocado, frozen",100,224.0,23.5,1.9,67.9,6.3,0.4,15.5,1.9,1.9,False,7.8333,0.0,1.3,30.0,1.4,0.15,0.08,0.0,0.36,6.0,12.0,0.49,487.0,30.0,4.7,43.0,1.0,0.4,0.4
Aguardiente,Aguardiente,100,237.0,,,67.0,0.0,,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Ajo,Garlic,100,117.0,0.23,3.9375,70.4,1.2,24.3,0.03,0.1,0.05,False,,0.0,0.1,4.8,0.27,0.02,0.16,0.0,0.32,14.0,17.8,1.2,446.0,24.1,19.0,134.0,4.7,0.5,1.1
"Ajo, en polvo","Garlic, powder",100,371.0,0.73,16.55,6.45,9.0,72.73,0.115,0.178,0.249,False,53.0,0.0,0.67,47.0,1.458,0.267,0.15,0.0,1.654,1.2,646.0,8.68,1193.0,264.0,60.0,414.0,2.7,23.9,2.99
"Ajo, frito","Garlic, fried",100,102.0,0.59,7.7,64.3,1.55,15.97,0.03,0.3,0.1,False,0.29,0.0,0.01,3.25,1.87,0.03,0.1,0.0,0.29,11.48,18.62,1.86,607.6,24.5,3.82,166.6,2.94,1.96,0.98
Albahaca,Basil,100,178.0,3.98,14.4,6.4,40.5,20.5,0.45,2.17,0.24,False,264.0,0.0,7.48,247.0,6.95,0.32,0.15,0.0,2.32,61.2,154.0,42.0,3433.0,422.0,34.0,490.0,,2.8,5.82
Albaricoque,Apricot,100,42.0,,0.8,87.6,2.1,9.5,0.04,0.02,0.01,False,26.0,0.0,0.7,5.0,0.6,0.07,0.05,0.0,0.07,7.0,17.0,0.5,293.0,12.0,1.0,24.0,0.5,1.0,0.1
Albondigas en conserva,"Meatball, canned",100,142.0,9.72,6.8,71.6,5.05,6.8,3.91,2.73,2.828,False,9.55,0.23,1.43,34.08,5.0,0.13,0.06,24.84,0.12,0.0,124.0,6.3,614.3,89.4,929.3,243.2,6.7,8.2,0.43
"Alcachofa, cruda","Artichoke, frozen, raw",100,23.0,0.2,2.9,83.33,9.4,2.26,,0.09,,False,4.0,0.0,0.2,28.0,0.8,0.04,0.05,0.0,0.09,6.0,44.0,1.0,300.0,27.0,15.0,50.0,1.0,0.2,0.1
Alcachofas en conserva,"Artichoke, canned",100,18.0,0.16,2.9,86.3,9.4,1.2,0.005,0.068,0.037,False,15.0,0.0,0.2,47.0,0.9,0.04,0.05,0.0,0.09,6.0,44.0,1.0,300.0,27.0,15.0,50.0,0.4,0.2,0.1
Alcaparra,Caper,100,26.0,0.86,2.36,85.16,1.5,2.1,0.063,0.304,0.233,False,13.8,0.0,0.88,23.0,0.652,0.139,0.018,0.0,0.023,4.3,40.0,1.67,40.0,33.0,2964.0,10.0,,1.2,0.32
Alioli,"Garlic mayonnaise, oil unspecified",100,785.0,86.89,0.46,8.25,0.14,2.84,61.74,8.71,12.61,False,0.0017,0.0,10.45,0.56,0.03,0.0,0.02,0.0,0.04,0.0,2.46,0.14,51.77,7.0,565.01,15.65,32.0,0.2,0.13
Almeja,Clams,100,48.0,1.61,10.7,88.8,0.0,0.0,0.24,0.59,0.34,True,90.0,,0.4,16.0,4.1,0.14,0.04,,0.14,,75.0,24.0,314.0,51.0,56.0,130.0,160.0,24.3,1.3
Almejas en conserva,Canned clams,100,81.0,0.4,17.43,80.7,0.0,1.5,0.04,0.121,0.1,False,89.8,,0.37,12.8,4.1,0.14,0.03,5.0,0.03,0.0,142.4,25.6,314.0,50.8,56.0,169.0,27.1,24.3,1.3
"Almendra, cruda","Almond, raw",100,589.0,45.22,19.1333,5.8682,8.3475,6.2038,27.98,11.14,4.32,True,0.0,0.0,24.0,70.0,5.3,0.78,0.21,0.0,0.11,,248.25,3.5875,767.25,258.125,10.3625,524.875,2.0,4.0,3.6
"Almendra, cruda, con cáscara","Almond, raw, in shell",100,589.0,54.1,21.22,5.65,13.5,5.36,36.6,12.861,4.142,True,20.0,0.0,26.15,45.0,5.5,0.62,0.22,0.0,0.155,0.0,252.0,4.1,835.0,270.0,14.0,454.0,2.0,3.5,3.2
"Almendra, frita, salada","Almond, fried, salted",100,593.0,55.9623,19.0,3.0,15.0,4.5,38.5453,10.5315,4.4232,False,0.0,0.0,24.0,70.0,2.5,0.75,0.23,0.0,0.08,0.0,250.0,4.2,800.0,250.0,400.0,470.0,1.0,4.4,3.2
"Almendra, tostada","Almond, toast",100,590.0,52.93,22.9,1.55,13.4,6.6,33.658,12.649,4.047,False,1.0,0.0,26.264,36.0,5.917,0.57,0.13,0.0,0.09,0.0,240.0,3.1,790.0,270.0,14.0,560.0,2.0,1.17,3.3
Almidón de arroz,Rice starch,100,350.0,0.0,0.76,14.2,0.0,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,20.0,0.28,8.0,20.0,61.0,100.0,0.6,0.0,0.5
Almidón de maíz,Corn starch,100,374.0,0.0,0.26,7.5,0.9,91.3,,,,False,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.0,0.47,3.0,3.0,9.0,13.0,0.5,2.8,0.06
Almidón de trigo,Wheat starch,100,354.0,0.0,0.4,13.4,0.0,86.1,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,2.0,100.0,0.6,0.0,0.5
Altramuz,Lupin,100,399.0,9.74,36.17,10.44,,40.38,3.94,2.439,1.156,False,6.9,0.0,,335.0,2.19,0.22,0.64,0.0,0.357,4.8,176.0,4.36,1013.0,198.0,15.0,440.0,,8.2,4.75
"Alubia blanca, en conserva","White bean, canned",100,94.0,0.2375,6.7,72.5,4.4,15.7,,0.12,0.07,False,,0.0,0.05,60.0,0.1,0.04,0.1,0.0,0.07,0.0,71.0,2.8,362.0,39.0,4.0,84.0,2.0,16.0,2.3
"Alubia blanca, seca, cruda","White bean, dried, raw",100,272.0,1.3425,22.225,10.8,19.7,41.6364,0.0977,0.6975,0.2788,True,1.0833,0.0,1.125,308.0,2.4,0.165,0.5,0.0,0.46,1.7,138.667,5.19,1718.0,135.3,13.7,470.0,1.6,3.2,3.655
"Alubia negra, seca, remojada, hervida","Pinto bean, dried, steeped, boiled",100,92.0,0.2125,8.4,68.9,8.7,13.7,,0.17,,False,0.6667,0.0,0.24,74.0,0.5,0.06,0.16,0.0,0.1,1.0,66.0,2.5,420.0,47.0,3.0,130.0,2.0,16.0,2.3
"Anacardo, crudo","Cashew nut, raw",100,577.0,43.1,17.5,6.9,1.4,32.0,27.74,8.01,8.71,True,10.0,0.0,5.8,68.0,2.0,0.26,0.63,0.0,0.16,0.0,31.0,2.8,552.0,267.0,14.0,373.0,0.01,34.0,4.8
Anchoas en aceite vegetal,Anchovy in vegetable oil,100,204.0,9.71,28.89,61.0,0.0,0.0,3.77,2.562,2.203,False,67.4,11.8,3.33,18.5,3.8,0.363,0.078,3.4,0.203,0.0,232.0,4.63,554.0,69.0,3668.0,262.0,,68.1,2.44
"Anguila, al horno","European eel, baked",100,223.0,14.2222,23.7,59.3,0.0,0.0,7.1,2.1,3.6,False,980.0,5.0,5.6,3.0,4.5,0.3,0.18,1.0,0.08,0.0,25.0,0.6,340.0,20.0,65.0,270.0,25.0,8.3,3.0
"Anguila, cruda","European eel, raw",100,219.0,15.525,19.97,61.9667,0.0,0.0,7.031,2.5898,3.9968,False,1200.0,4.9,4.14,2.9,1.4,0.35,0.2,1.0,0.25,,19.0,1.2,270.0,19.0,89.0,310.0,25.0,6.5,2.5
"Anguila, hervida","Europan eel, boiled",100,197.0,12.7778,20.5,62.0,0.0,0.0,6.4,1.8,3.3,False,1000.0,5.0,4.14,4.0,2.5,0.34,0.13,1.0,0.25,0.0,20.0,0.8,200.0,20.0,80.0,230.0,25.0,8.3,2.5
"Angula, cruda","Elver, raw",100,213.0,16.5,16.3,67.2,0.0,0.0,8.9,1.3,2.8,False,1000.0,110.0,5.6,13.0,5.5,0.32,0.17,1.0,0.3,,30.0,1.0,270.0,19.0,90.0,170.0,10.0,,1.8
"Anís, seco","Anisette, dry",100,265.0,,0.0,61.4,0.0,1.0,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,
Aperitivos de trigo,Wheat appetizer,100,509.0,25.9,10.3,0.0,6.3,58.2,11.4,3.0,11.4,True,3.37,0.0,1.74,10.29,3.8,0.1,0.1,0.24,0.12,0.0,61.2,15.3,349.5,60.3,1234.3,199.7,10.0,17.1,1.9
"Apio, crudo","Celery, raw",100,11.0,0.1,0.9,94.4,2.0,1.5,,,,False,95.0,,0.2,18.0,0.4,0.04,0.05,,0.1,8.0,52.0,0.5,305.0,14.0,110.0,32.0,0.0,0.4,0.1
"Apio, en conserva en salmuera","Celery, canned, in brine",100,9.0,,0.8,94.5,2.3,1.3,,,,False,9.3333,0.0,0.19,22.0,0.3,0.04,0.04,0.0,0.07,6.0,36.0,0.4,283.0,10.0,343.0,25.0,1.1,0.046,0.1
